Protein stable ID	UniProtKB Gene Name ID
AT1G01100.4	A8MQK8
AT1G01100.4	Q8LCW9
AT1G02780.1	Q9SRX2
AT1G02830.1	Q9SRX7
AT1G04270.1	F4I472
AT1G04270.1	Q08112
AT1G04480.1	P49690
AT1G07070.1	Q9LMK0
AT1G07770.2	P42798
AT1G08360.1	Q8VZB9
AT1G09590.1	Q43291
AT1G09690.1	Q43291
AT1G12960.1	Q9LPV3
AT1G14320.1	A0A2H1ZEB8
AT1G14320.1	Q93VT9
AT1G15250.2	Q8LFH7
AT1G15930.1	Q9S9P1
AT1G18540.1	Q9FZ76
AT1G22780.1	Q5PNZ9
AT1G22780.1	P34788
AT1G23290.1	Q9LR33
AT1G23410.1	P59271
AT1G25260.1	Q94AK8
AT1G26880.1	Q42351
AT1G26910.1	A0A1P8AUU3
AT1G26910.1	Q08770
AT1G27400.1	Q93VI3
AT1G29965.1	Q8L7K0
AT1G29970.2	A8MRF3
AT1G29970.2	F4I376
AT1G29970.2	Q8L9S1
AT1G31817.1	Q8VZT8
AT1G33120.1	P49209
AT1G33140.1	P49209
AT1G33850.1	Q9LD48
AT1G34030.1	Q5PNZ9
AT1G34030.1	P34788
AT1G36240.1	Q9C8F7
AT1G41880.1	Q9FZH0
AT1G43170.1	A8MQQ1
AT1G43170.1	P17094
AT1G48830.1	Q9C514
AT1G49400.1	Q9XIA6
AT1G52300.1	Q43292
AT1G56045.1	P62120
AT1G57660.1	Q9FDZ9
AT1G57860.1	Q9FDZ9
AT1G58380.1	Q8L8Y0
AT1G58684.1	Q93VB8
AT1G58983.1	Q93VB8
AT1G59359.1	Q93VB8
AT1G61580.1	P22738
AT1G66580.1	Q93W22
AT1G67430.1	P51413
AT1G69620.1	Q9FE65
AT1G70600.1	Q7G923
AT1G70600.1	P49637
AT1G72370.1	B9DG17
AT1G72370.1	Q08682
AT1G74050.1	Q9C9C5
AT1G74060.1	Q9C9C6
AT1G74270.1	Q9C912
AT1G77940.1	Q8VZ19
AT1G80750.1	Q9SAI5
AT2G01250.1	A8MRH4
AT2G01250.1	P60040
AT2G04390.1	P49205
AT2G05220.2	Q9SJ36
AT2G09990.1	Q9SK22
AT2G16360.1	
AT2G17360.1	Q93VH9
AT2G18020.1	P46286
AT2G19720.1	O82205
AT2G19730.2	O82204
AT2G19740.1	Q9SLL7
AT2G19750.1	P49689
AT2G20450.1	Q9SIM4
AT2G21580.1	Q9SIK2
AT2G25210.1	
AT2G27530.2	P59230
AT2G27535.1	
AT2G27710.1	Q9SLF7
AT2G27720.2	P51407
AT2G31610.1	Q9SIP7
AT2G32060.3	Q9SKZ3
AT2G32220.1	Q9SKX8
AT2G33370.1	F4J3P1
AT2G33370.1	P49690
AT2G34480.2	A0A1P8AY36
AT2G34480.2	P51418
AT2G36160.1	Q9SIH0
AT2G36170.1	Q42202
AT2G36170.1	B9DHA6
AT2G36620.1	Q42347
AT2G37190.1	P50883
AT2G37270.1	Q9ZUT9
AT2G37600.1	O80929
AT2G39390.1	O80626
AT2G39460.1	Q8LD46
AT2G39590.1	O80646
AT2G40010.1	O04204
AT2G40205.1	P62120
AT2G40510.1	Q8LPJ7
AT2G40590.1	P49206
AT2G41840.1	P49688
AT2G42710.1	
AT2G42740.1	P42795
AT2G43460.1	O22860
AT2G44065.3	Q8VZU4
AT2G44120.2	P60039
AT2G44860.2	O22165
AT2G45710.1	O64650
AT2G47110.2	P59232
AT2G47570.1	
AT2G47610.1	P49692
AT3G02080.1	Q9SGA6
AT3G02190.1	Q8L8W6
AT3G02560.1	Q9M885
AT3G04230.1	Q9M8X9
AT3G04400.1	F4J3P1
AT3G04400.1	P49690
AT3G04770.1	F4J4W3
AT3G04770.1	Q8H173
AT3G04840.1	Q9CAV0
AT3G04920.1	Q9SS17
AT3G05560.1	Q9M9W1
AT3G05590.1	A0A1I9LT16
AT3G05590.1	P42791
AT3G06680.1	Q84WM0
AT3G06700.1	Q9M7X7
AT3G07110.2	Q9SFU1
AT3G08520.1	P62120
AT3G09200.1	Q42112
AT3G09500.1	Q9SF53
AT3G09630.1	Q2V3X4
AT3G09630.1	Q9SF40
AT3G09680.1	Q9SF35
AT3G10090.1	Q9SR73
AT3G10610.1	Q9SQZ1
AT3G10950.1	Q9SRK6
AT3G11120.1	P62120
AT3G11250.1	P57691
AT3G11510.1	Q9CAX6
AT3G11940.1	P51427
AT3G13120.3	Q9LK61
AT3G13580.5	Q9LHP1
AT3G14600.1	Q9LUD4
AT3G16080.1	Q8LEM8
AT3G16780.1	Q9LUQ6
AT3G18740.1	Q9LSA3
AT3G18880.2	
AT3G22230.1	Q8LCL3
AT3G23390.1	O23290
AT3G24830.1	Q9LRX8
AT3G25520.3	F4J912
AT3G25520.3	Q8LBI1
AT3G28500.1	Q9LH85
AT3G28900.1	Q9LJW6
AT3G43980.1	Q680P8
AT3G44010.1	Q680P8
AT3G44590.1	Q9LXM8
AT3G45030.1	P49200
AT3G46040.1	Q9LX88
AT3G47370.3	Q9STY6
AT3G48930.1	P16181
AT3G48960.1	Q9SMT4
AT3G49010.3	A8MQA1
AT3G49010.3	F4IWP7
AT3G49010.3	P41127
AT3G49910.1	P51414
AT3G51190.1	Q4PSL7
AT3G52580.1	P42036
AT3G52590.1	Q42202
AT3G52590.1	B9DHA6
AT3G53020.1	P38666
AT3G53430.1	Q9LFH5
AT3G53740.4	Q9M352
AT3G53870.1	Q9M339
AT3G53890.2	Q9M337
AT3G55170.5	Q9M3D2
AT3G55280.1	A8MS83
AT3G55280.1	Q9M3C3
AT3G55750.1	P51422
AT3G56020.1	P62120
AT3G56340.1	Q9LYK9
AT3G57490.1	Q9SCM3
AT3G58700.1	P42794
AT3G59540.1	O22860
AT3G60245.1	Q8RXU5
AT3G60770.1	P59223
AT3G61110.1	Q9M2F1
AT3G61111.1	
AT3G62250.1	P59233
AT3G62870.1	Q9LZH9
AT3G63490.1	F4J296
AT3G63490.1	Q9LY66
AT4G00100.1	P59224
AT4G00810.1	O23095
AT4G02230.1	P49693
AT4G09800.1	Q5PNZ9
AT4G09800.1	P34788
AT4G10450.1	Q9SZX9
AT4G12600.2	
AT4G13170.1	Q9SVR0
AT4G14320.2	F4JUQ4
AT4G14320.2	O23290
AT4G15000.1	A8MS28
AT4G15000.1	P51419
AT4G16030.1	Q680Q9
AT4G16720.1	O23515
AT4G17390.1	Q8VYF1
AT4G18100.1	P49211
AT4G18730.1	P42794
AT4G22380.1	
AT4G25740.1	Q9SW09
AT4G25890.1	Q9SVZ6
AT4G26230.1	Q9STR1
AT4G27090.1	Q9T043
AT4G29390.1	P49689
AT4G29410.1	Q9M0E2
AT4G29430.1	Q9M0E0
AT4G30800.1	O65569
AT4G31700.1	A8MS03
AT4G31700.1	O48549
AT4G31985.1	P51424
AT4G33865.1	Q680P8
AT4G34555.1	Q8GYL5
AT4G34670.1	Q42262
AT4G36130.1	Q42064
AT4G39200.1	Q9T029
